1 a                   un                                      

2412 cabal               cábala                                  

2413 cabala              cábala                                  

2414 cabalistic          cabalístico                             

2415 cabana              cabaña                                  

2416 cabaret             cabaret                                 

2417 cabbage             col                                     

2418 cabdriver           taxista                                 

2419 cabin               cabaña                                  

2420 cabinet             armario                                 

2421 cabinetmaker        ebanista                                

2422 cabinetmaking       ebanistería                             

2423 cable               cable                                   

2424 cablegram           telegrama                               

2425 cacao               cacao                                   

2426 cache               escondite                               

2427 cachet              sello                                   

2428 cackerel            caramelo                                

2429 cackle              cacareo                                 

2430 cacophony           cacofonía                               

2431 cactus              cacto                                   

2432 cad                 sinvergüenza                            

2433 cadaver             cadáver                                 

2434 cadaverous          cadavérico                              

2435 caddie              cadi                                    

2436 cadence             cadencia                                

2437 cadet               cadete                                  

2438 cadmium             cadmio                                  

2439 cadre               cuadro                                  

2440 caducity            caducidad                               

2441 cafe                café                                    

2442 cafeteria           cafetería                               

2443 caffeine            cafeína                                 

2444 cage                jaula                                   

2445 caged               enjaulado                               

2446 cagey               ladino                                  

2447 caiman              caimán                                  

2448 caisson             cajón de municiones                     

2449 cajolery            engatusamiento                          

2450 cake                pastel                                  

2451 calamary            calamar                                 

2452 calamitous          calamitoso                              

2453 calamity            calamidad                               

2454 calcaneus           calcáreo                                

2455 calcareous          calizo                                  

2456 calcic              cálcico                                 

2457 calcification       calcificación                           

2458 calcified           calcificado                             

2459 calcify             calcificar                              

2460 calcination         calcinación                             

2461 calcined            calcinado                               

2462 calcium             calcio                                  

2463 calculable          calculable                              

2464 calculating         interesado                              

2465 calculation         cálculo                                 

2466 calculus            cálculo                                 

2467 caldron             caldera                                 

2468 calendar            agenda                                  

2469 calf                ternero                                 

2470 calfskin            piel de becerro                         

2471 caliber             calibre                                 

2472 calibrated          calibrado                               

2473 calibration         calibración                             

2474 calico              calicó                                  

2475 California          California                              

2476 Californian         californiano                            

2477 caliper             compás de calibre                       

2478 caliph              califa                                  

2479 calisthenics        calistenia                              

2480 call                llamada                                 

2481 caller              visita                                  

2482 calligrapher        calígrafo                               

2483 calligraphy         caligrafía                              

2484 calling             llamada                                 

2485 callous             calloso                                 

2486 callously           insensiblemente                         

2487 callousness         dureza                                  

2488 callow              sin experiencia                         

2489 callus              callo                                   

2490 calm                calma                                   

2491 calmative           calmante                                

2492 calmly              calmadamente                            

2493 calmness            calma                                   

2494 caloric             calorífico                              

2495 calorie             caloría                                 

2496 calorimeter         calorímetro                             

2497 calumny             calumnia                                

2498 Calvary             calvario                                

2499 calyx               cáliz                                   

2500 cam                 leva                                    

2501 camaraderie         compañerismo                            

2502 camber              combado                                 

2503 Cambodia            Camboya                                 

2504 cambric             batista                                 

2505 camel               camello                                 

2506 camel-hair          pelo de camello                         

2507 camellia            camelia                                 

2508 cameo               camafeo                                 

2509 cameraman           camarógrafo                             

2510 camouflage          camuflaje                               

2511 camouflaging        simulacro                               

2512 camp                campamento                              

2513 campaign            campaña                                 

2514 campaigner          veterano                                

2515 camper              campista                                

2516 campfire            fogata                                  

2517 camphor             alcanfor                                

2518 camping             acampada                                

2519 campus              campus                                  

2520 can                 lata                                    

2521 Canada              Canadá                                  

2522 Canadian            canadiense                              

2523 canal               canal                                   

2524 canalization        canalización                            

2525 canary              canario                                 

2526 canasta             canasta (de baloncesto)                 

2527 canceled            anulado                                 

2528 Cancer              Cáncer                                  

2529 cancer              cáncer                                  

2530 cancerous           canceroso                               

2531 candelabrum         candelabro                              

2532 candid              franco                                  

2533 candidacy           candidatura                             

2534 candidate           candidato                               

2535 candidature         candidatura                             

2536 candidly            cándidamente                            

2537 candidness          candor                                  

2538 candied             confitado                               

2539 candle              vela                                    

2540 candleholder        candelabro                              

2541 candlestick         candelero                               

2542 candlewick          pabilo                                  

2543 candor              candor                                  

2544 candy               caramelo                                

2545 cane                bastón                                  

2546 canine              canino                                  

2547 canister            bidón                                   

2548 canned              enlatado                                

2549 canner              envasador                               

2550 cannery             fábrica de conservas                    

2551 cannibal            caníbal                                 

2552 cannibalism         canibalismo                             

2553 cannon              can                                     

2554 cannonade           cañoneo                                 

2555 cannonball          bala de can                             

2556 cannoneer           artillero                               

2557 canny               sagaz                                   

2558 canoe               canoa                                   

2559 canon               canon                                   

2560 canonical           canónico                                

2561 canonization        canonización                            

2562 canopy              dosel                                   

2563 cant                canto                                   

2564 cantaloupe          melón                                   

2565 cantankerous        avinagrado                              

2566 canteen             cantimplora                             

2567 canter              medio galope                            

2568 cantilever          voladizo                                

2569 cantina             cantina                                 

2570 cantonment          acantonamiento                          

2571 cantor              chantre                                 

2572 canvas              lona                                    

2573 canvass             escrutinio                              

2574 canyon              can                                     

2575 cap                 gorra                                   

2576 capability          aptitud                                 

2577 capable             capaz                                   

2578 capacious           espacioso                               

2579 capacitor           condensador                             

2580 capacity            capacidad                               

2581 cape                capotillo                               

2582 capelan             capellán                                

2583 capelin             capelán                                 

2584 caper               cabriola                                

2585 capillary           capilar                                 

2586 capital             capital                                 

2587 capitalism          capitalismo                             

2588 capitalist          capitalista                             

2589 capitalization      capitalización                          

2590 capitalize          capitalizar                             

2591 Capitol             Capitolio                               

2592 capitulation        capitulación                            

2593 caplin              capelán                                 

2594 capon               capón                                   

2595 caprice             capricho                                

2596 capricious          caprichoso                              

2597 capriciously        caprichosamente                         

2598 Capricorn           Capricornio                             

2599 caps                mayúsculas                              

2600 capstan             cabrestante                             

2601 capsule             cápsula                                 

2602 captain             capitán                                 

2603 captaincy           capitanía                               

2604 caption             rotulo                                  

2605 captious            capcioso                                

2606 captivating         cautivador                              

2607 captive             cautivo                                 

2608 captivity           cautividad                              

2609 captor              aprehensor                              

2610 car                 automóvil                               

2611 carafe              garrafa                                 

2612 caramel             caramelo                                

2613 carat               quilate                                 

2614 caravan             caravana                                

2615 caravel             carabela                                

2616 caraway             alcaravea                               

2617 carbide             carburo                                 

2618 carbine             carabina                                

2619 carbohydrate        carbohidrato                            

2620 carbon              carbono                                 

2621 carbonaceous        carbonoso                               

2622 carbonate           carbonato                               

2623 carbonic            carbónico                               

2624 carbuncle           carbunco                                

2625 carburetor          carburador                              

2626 carcass             cadáver                                 

2627 carcinogen          agente cancerígeno                      

2628 carcinogenic        carcinogéno                             

2629 carcinoma           carcinoma                               

2630 card                tarjeta                                 

2631 cardfile            fichero                                 

2632 cardia              cardias                                 

2633 cardiac             cardiaco                                

2634 cardigan            chaqueta de punto                       

2635 cardinal            cardinal                                

2636 cardiogram          cardiograma                             

2637 cardiologist        cardiólogo                              

2638 cardiology          cardiología                             

2639 cardiovascular      cardiovascular                          

2640 cardioversion       cardioversión                           

2641 care                cuidado                                 

2642 carefree            descuidado                              

2643 careful             cuidadoso                               

2644 carefully           cuidadosamente                          

2645 carefulness         esmero                                  

2646 careless            descuidado                              

2647 carelessly          descuidadamente                         

2648 carelessness        descuido                                

2649 caress              acariciar                               

2650 caret               acento circunflejo                      

2651 caretaker           conserje                                

2652 careworn            agobiado por los cuidados               

2653 cargo               carga                                   

2654 Caribbean           Caribe                                  

2655 caribou             caribú                                  

2656 caricature          caricatura                              

2657 caricaturist        caricaturista                           

2658 caries              caries                                  

2659 carillon            carillón                                

2660 carload             carretada                               

2661 Carlovingian        carolingio                              

2662 carnage             carnicería                              

2663 carnal              carnal                                  

2664 carnation           encarnado                               

2665 carnival            carnaval                                

2666 carnivore           carnívoro                               

2667 carnivorous         carnívoro                               

2668 carol               canción alegre                          

2669 Carolingian         carolingio                              

2670 carom               carambola                               

2671 carotid             carótida                                

2672 carp                carpa                                   

2673 Carpathians         Cárpatos                                

2674 carpenter           carpintero                              

2675 carpentry           carpintería                             

2676 carpet              alfombra                                

2677 carpeting           alfombrado                              

2678 carping             criticón                                

2679 carpus              carpo                                   

2680 carriage            carruaje                                

2681 carrier             portador                                

2682 carrion             carroña                                 

2683 carrot              zanahoria                               

2684 cart                carreta                                 

2685 cartage             acarreo                                 

2686 cartel              cartel                                  

2687 carter              carretero                               

2688 Cartesian           cartesiano                              

2689 cartilage           cartílago                               

2690 cartload            carretada                               

2691 cartographer        cartógrafo                              

2692 cartographic        cartográfico                            

2693 cartography         cartografía                             

2694 cartomancy          cartomancia                             

2695 carton              cartón                                  

2696 cartoon             caricatura                              

2697 cartoonist          caricaturista                           

2698 cartridge           cartucho                                

2699 carver              tallista                                

2700 carving             talla (obra de escultura)               

2701 cascade             cascada                                 

2702 case                caja                                    

2703 caseation           caseificación                           

2704 casement            marco (de una ventana)                  

2705 caseous             caseoso                                 

2706 cash                al contado                              

2707 cashew              anacardo                                

2708 cashier             cajero                                  

2709 cashmere            cachemir                                

2710 casing              cubierta                                

2711 casino              casino                                  

2712 cask                casco                                   

2713 casket              arqueta                                 

2714 casserole           cazuela                                 

2715 cassette            cassette                                

2716 cast                lanzamiento                             

2717 castanet            castañuela                              

2718 castaway            desechado                               

2719 caste               casta                                   

2720 caster              vaciador                                

2721 castigation         castigo                                 

2722 Castile             Castilla                                

2723 Castilian           castellano                              

2724 casting             reparto                                 

2725 castle              castillo                                

2726 castoff             descartado                              

2727 castrated           castrado                                

2728 castration          castración                              

2729 casual              casual                                  

2730 casually            accidentalmente                         

2731 casualness          casualidad                              

2732 casualty            accidente                               

2733 cat                 gato                                    

2734 cataclysm           cataclismo                              

2735 catacomb            catacumba                               

2736 Catalan             catalán                                 

2737 catalepsy           catalepsia                              

2738 cataleptic          cataléptico                             

2739 catalog             catálogo                                

2740 catalogue           catálogo                                

2741 Catalonia           Cataluña                                

2742 catalysis           catálisis                               

2743 catalyst            catalizador                             

2744 catapult            catapulta                               

2745 cataract            catarata                                

2746 catarrh             catarro                                 

2747 catastrophe         catástrofe                              

2748 catastrophic        catastrófico                            

2749 catatonic           catatónico                              

2750 catching            contagioso                              

2751 catchword           lema                                    

2752 catchy              pegadizo                                

2753 catechism           catecismo                               

2754 catechist           catequista                              

2755 categoric           categórico                              

2756 categorical         categórico                              

2757 categorically       categóricamente                         

2758 category            categoría                               

2759 caterpillar         oruga                                   

2760 caterwaul           maullido                                

2761 catfish             barbo                                   

2762 catharsis           catarsis                                

2763 cathartic           catártico                               

2764 cathedral           catedral                                

2765 catheter            catéter                                 

2766 cathode             cátodo                                  

2767 Catholic            católico                                

2768 Catholicism         catolicismo                             

2769 catkin              candelilla                              

2770 cattle              ganado                                  

2771 cattleman           ganadero                                

2772 Caucasian           caucásico                               

2773 caudal              caudal                                  

2774 cauldron            caldero                                 

2775 cauliflower         coliflor                                

2776 causal              causal                                  

2777 causation           causalidad                              

2778 cause               causa                                   

2779 causeway            calzada                                 

2780 caustic             cáustico                                

2781 cauterize           cauterizar                              

2782 cautery             cauterio                                

2783 caution             atención                                

2784 cautious            cauto                                   

2785 cautiously          cautamente                              

2786 cautiousness        cautela                                 

2787 cavalcade           cabalgata                               

2788 cavalier            caballero                               

2789 cavalry             caballería                              

2790 cave                cueva                                   

2791 cavern              caverna                                 

2792 cavernous           cavernoso                               

2793 caviar              caviar                                  

2794 cavity              bóveda                                  

2795 cease               cese                                    

2796 ceasefire           alto el fuego                           

2797 ceaseless           incesante                               

2798 cedar               cedro                                   

2799 cedarwood           cedro                                   

2800 ceiling             techo                                   

2801 celebrated          famoso                                  

2802 celebration         celebración                             

2803 celebrity           celebridad                              

2804 celerity            celeridad                               

2805 celery              apio                                    

2806 celestial           celestial                               

2807 celiac              celiaca                                 

2808 celibacy            celibato                                

2809 celibate            célibe                                  

2810 cell                celda                                   

2811 cellar              bodega                                  

2812 cellarman           catador (de vinos)                      

2813 cellist             violoncelista                           

2814 cello               violoncelo                              

2815 cellophane          celofán                                 

2816 cellular            celular                                 

2817 cellulitis          celulitis                               

2818 celluloid           celuloide                               

2819 cellulose           celulosa                                

2820 Celtic              céltico                                 

2821 cement              cemento                                 

2822 cemetery            cementerio                              

2823 censor              censor                                  

2824 censored            censurado                               

2825 censorship          censura                                 

2826 census              censo                                   

2827 cent                céntimo                                 

2828 centaur             centauro                                

2829 centenarian         centenario                              

2830 centenary           centenario                              

2831 centennial          centenario                              

2832 center              centro                                  

2833 centered            centrado                                

2834 centerpiece         centro de mesa                          

2835 centigrade          centígrado                              

2836 centimeter          centímetro                              

2837 centipede           ciempiés                                

2838 central             central                                 

2839 centrifugal         centrífugo                              

2840 centurion           centurión                               

2841 century             siglo                                   

2842 cephalic            cefálico                                

2843 ceramic             cerámica                                

2844 ceramics            cerámica                                

2845 ceramist            alfarero                                

2846 cereal              cereal                                  

2847 cerebellum          cerebelo                                

2848 cerebral            cerebral                                

2849 ceremonial          ceremonial                              

2850 ceremonious         ceremonioso                             

2851 ceremony            ceremonia                               

2852 certain             cierto                                  

2853 certainly           ciertamente                             

2854 certainty           certeza                                 

2855 certifiable         certificable                            

2856 certificate         certificado                             

2857 certificated        certificado                             

2858 certification       acreditación                            

2859 certified           certificado                             

2860 certifier           certificador                            

2861 certify             certificar                              

2862 certitude           certeza                                 

2863 cervical            cervical                                

2864 cervix              cerviz                                  

2865 cesarian            cesárea                                 

2866 cesium              cesio                                   

2867 cessation           cese                                    

2868 cession             cesión                                  

2869 chafe               rozadura                                

2870 chaffinch           pinzón                                  

2871 chagrin             mortificación                           

2872 chain               cadena                                  

2873 chained             encadenado                              

2874 chaining            encadenamiento                          

2875 chair               silla                                   

2876 chairman            presidente                              

2877 chairperson         presidente                              

2878 chairwoman          presidenta                              

2879 chalet              chalet                                  

2880 chalice             cáliz                                   

2881 chalk               magnesio                                

2882 chalkboard          pizarra                                 

2883 chalky              blanquecino                             

2884 challenge           desafío                                 

2885 challenger          aspirante                               

2886 challenging         desafiante                              

2887 chamber             cámara                                  

2888 chamberlain         chambelán                               

2889 chambermaid         camarera                                

2890 chameleon           camaleón                                

2891 chamois             gamuza                                  

2892 chamomile           manzanilla                              

2893 champagne           champaña                                

2894 champion            campeón                                 

2895 championship        campeonato                              

2896 chance              azar                                    

2897 chancel             coro                                    

2898 chancellery         cancillería                             

2899 chancellor          canciller                               

2900 chancre             chancro                                 

2901 chancroid           chancroide                              

2902 chancy              arriesgado                              

2903 chandelier          araña (de luces)                        

2904 chandler            cerero                                  

2905 changability        mutabilidad                             

2906 change              cambio                                  

2907 changeability       mutabilidad                             

2908 changeable          cambiable                               

2909 changeless          inmutable                               

2910 channel             canal                                   

2911 chanson             canción                                 

2912 chant               canto                                   

2913 chanteuse           cantante                                

2914 chantry             capilla                                 

2915 chaos               caos                                    

2916 chaotic             caótico                                 

2917 chap                muchacho                                

2918 chapel              capilla                                 

2919 chaperon            caperuza                                

2920 chaperone           sea                                     

2921 chaplain            capellán                                

2922 chaplaincy          capellanía                              

2923 chapter             capítulo                                

2924 char                trucha alpina                           

2925 character           carácter                                

2926 characteristic      característica                          

2927 characterization    caracterización                         

2928 charade             charada                                 

2929 charcoal            carbón                                  

2930 charge              cargo                                   

2931 charger             corcel                                  

2932 chariot             carro                                   

2933 charioteer          auriga                                  

2934 charisma            carisma                                 

2935 charismatic         carismático                             

2936 charitable          caritativo                              

2937 charitableness      caridad                                 

2938 charitably          caritativamente                         

2939 charity             caridad                                 

2940 charlatan           charlatán                               

2941 Charlemagne         Carlomagno                              

2942 charm               amuleto                                 

2943 charmer             encantador                              

2944 charming            encantador                              

2945 charred             carbonizado                             

2946 chart               gráfico                                 

2947 charter             estatutos                               

2948 charwoman           asistenta                               

2949 chase               persecución                             

2950 chaser              cazador                                 

2951 chasm               quiebra                                 

2952 chassis             chasis                                  

2953 chaste              casto                                   

2954 chasten             castigar                                

2955 chastity            castidad                                

2956 chat                charla                                  

2957 chateau             castillo                                

2958 chattel             enseres                                 

2959 chatter             charla                                  

2960 chatty              hablador                                

2961 chauffeur           chofer                                  

2962 chauvinism          chovinismo                              

2963 chauvinist          chovinista                              

2964 cheap               barato                                  

2965 cheapie             tacaño                                  

2966 cheaply             barato                                  

2967 cheapness           baratera                                

2968 cheapskate          tacaño                                  

2969 cheat               timo                                    

2970 cheater             timador                                 

2971 Chechen             checheno                                

2972 Chechenia           Chechenia                               

2973 check               cheque                                  

2974 checkbook           chequera                                

2975 checkered           ajedrezado                              

2976 checkers            damas (juego)                           

2977 checklist           lista de comprobación                   

2978 checkmate           jaque mate                              

2979 checkpoint          punto de control                        

2980 checkroom           vestuario                               

2981 checksum            suma de control                         

2982 checkup             comprobación                            

2983 cheek               mejilla                                 

2984 cheekbone           pómulo                                  

2985 cheeky              descarado                               

2986 cheep               pío                                     

2987 cheer               alegría                                 

2988 cheerful            alegre                                  

2989 cheerfully          alegremente                             

2990 cheerfulness        alegría                                 

2991 cheerless           triste                                  

2992 cheers              salud                                   

2993 cheese              queso                                   

2994 cheeseburger        hamburguesa de queso                    

2995 cheesy              caseoso                                 

2996 chef                cocinero                                

2997 chemical            químico                                 

2998 chemically          químicamente                            

2999 chemicals           sustancias químicas                     

3000 chemise             camisa                                  

3001 chemist             farmacia                                

3002 chemistry           química                                 

3003 chemotherapy        quimioterapia                           

3004 chenille            felpilla                                

3005 cheque              cheque                                  

3006 cherished           querido                                 

3007 cherry              cereza                                  

3008 cherub              querubín                                

3009 chess               ajedrez                                 

3010 chessboard          tablero de ajedrez                      

3011 chessman            pieza de ajedrez                        

3012 chest               arca                                    

3013 chestnut            castaña                                 

3014 chevron             galón                                   

3015 chewable            masticable                              

3016 chewer              mascador                                

3017 chic                elegante                                

3018 Chicago             Chicago                                 

3019 chicanery           triquiñuela                             

3020 Chicano             chicano                                 

3021 chick               polluelo                                

3022 chicken             pollo                                   

3023 chickpea            garbanzo                                

3024 chicle              chicle                                  

3025 chicory             achicoria                               

3026 chief               jefe                                    

3027 chiefly             principalmente                          

3028 chieftain           cabecilla                               

3029 chiffon             gasa                                    

3030 chignon             moño                                    

3031 child               niño                                    

3032 childbirth          parto                                   

3033 childhood           niñez                                   

3034 childish            infantil                                

3035 childishness        puerilidad                              

3036 childless           sin hijos                               

3037 childlike           infantil                                

3038 Chile               Chile                                   

3039 Chilean             chileno                                 

3040 chilelithiasis      colelitiasis                            

3041 chili               chile                                   

3042 chill               frío                                    

3043 chilliness          frialdad                                

3044 chilly              friolero                                

3045 chime               carillón                                

3046 chimney             chimenea                                

3047 chimp               chimpancé                               

3048 chimpanzee          chimpancé                               

3049 chin                barbilla                                

3050 China               China                                   

3051 china               loza                                    

3052 Chinaman            chino                                   

3053 chinaware           vajilla                                 

3054 chinchilla          chinchilla                              

3055 Chinese             chino                                   

3056 chink               grieta                                  

3057 chintz              zaraza                                  

3058 chip                astilla                                 

3059 chipmunk            ardilla listada                         

3060 chiromancy          quiromancia                             

3061 chiropodist         pedicuro                                
